nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,203.65,144.43831728457653,20
2,172.4,112.57637407555815,20
4,239.8,137.0823110397545,20
5,348.65,156.05456577748694,20
7,281.35,91.47309713790169,20
8,326.75,140.60045341320915,20
10,360.15,144.1555670100881,20
11,325.7,120.89793215766761,20
13,363.35,148.7213081572375,20
14,329.6,124.21690706180057,20
16,355.9,119.65237147670747,20
17,386.7,93.80996748746905,20
19,358.4,99.20201610854491,20
20,414.2,111.0322475679926,20
22,345.7,81.11232951900715,20
23,428.65,131.54021248272332,20
25,382.3,109.09358367933469,20
26,418.55,117.4408255250277,20
28,413.75,80.52879919631236,20
30,441.5,152.62028043480984,20
