,nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
0,1,135.9,33.582584772468,100
1,2,309.34,56.43034999005412,100
2,3,462.64,63.14325300457682,100
3,4,568.91,87.83975125192467,100
4,5,605.19,82.10209437036305,100
5,6,614.52,78.44698592042909,100
6,7,729.11,94.37752857539765,100
7,8,734.08,82.40056795920766,100
8,9,735.32,85.57813739501464,100
9,10,738.02,78.13616064281634,100
10,11,735.72,85.79173386754695,100
11,12,736.74,89.02040440258627,100
